Name,API,Most Followed Acount Followers
Susan Hayward,"twurl ""/1.1/users/search.json?count=1&q=Susan Hayward"" | jq '.[] | .followers_count'$'\n' >> output.log",1770
Ellen Burstyn,"twurl ""/1.1/users/search.json?count=1&q=Ellen Burstyn"" | jq '.[] | .followers_count'$'\n' >> output.log",1993
Jane Wyman,"twurl ""/1.1/users/search.json?count=1&q=Jane Wyman"" | jq '.[] | .followers_count'$'\n' >> output.log",105
Sophia Loren,"twurl ""/1.1/users/search.json?count=1&q=Sophia Loren"" | jq '.[] | .followers_count'$'\n' >> output.log",815
Joan Crawford,"twurl ""/1.1/users/search.json?count=1&q=Joan Crawford"" | jq '.[] | .followers_count'$'\n' >> output.log",36009
Kathy Bates,"twurl ""/1.1/users/search.json?count=1&q=Kathy Bates"" | jq '.[] | .followers_count'$'\n' >> output.log",350408
Julie Andrews,"twurl ""/1.1/users/search.json?count=1&q=Julie Andrews"" | jq '.[] | .followers_count'$'\n' >> output.log",30858
Marion Cotillard,"twurl ""/1.1/users/search.json?count=1&q=Marion Cotillard"" | jq '.[] | .followers_count'$'\n' >> output.log",16611
Deborah Kerr,"twurl ""/1.1/users/search.json?count=1&q=Deborah Kerr"" | jq '.[] | .followers_count'$'\n' >> output.log",220
Sissy Spacek,"twurl ""/1.1/users/search.json?count=1&q=Sissy Spacek"" | jq '.[] | .followers_count'$'\n' >> output.log",405
Susan Sarandon,"twurl ""/1.1/users/search.json?count=1&q=Susan Sarandon"" | jq '.[] | .followers_count'$'\n' >> output.log",594609
Luise Rainer,"twurl ""/1.1/users/search.json?count=1&q=Luise Rainer"" | jq '.[] | .followers_count'$'\n' >> output.log",1225
Glenn Close,"twurl ""/1.1/users/search.json?count=1&q=Glenn Close"" | jq '.[] | .followers_count'$'\n' >> output.log",18278
Doris Day,"twurl ""/1.1/users/search.json?count=1&q=Doris Day"" | jq '.[] | .followers_count'$'\n' >> output.log",1847
Natalie Wood,"twurl ""/1.1/users/search.json?count=1&q=Natalie Wood"" | jq '.[] | .followers_count'$'\n' >> output.log",1136
Jane Fonda,"twurl ""/1.1/users/search.json?count=1&q=Jane Fonda"" | jq '.[] | .followers_count'$'\n' >> output.log",765546
Jeff Bridges,"twurl ""/1.1/users/search.json?count=1&q=Jeff Bridges"" | jq '.[] | .followers_count'$'\n' >> output.log",193134
Chiwetel Ejiofor,"twurl ""/1.1/users/search.json?count=1&q=Chiwetel Ejiofor"" | jq '.[] | .followers_count'$'\n' >> output.log",3023
Ben Kingsley,"twurl ""/1.1/users/search.json?count=1&q=Ben Kingsley"" | jq '.[] | .followers_count'$'\n' >> output.log",194
Tommy Lee Jones,"twurl ""/1.1/users/search.json?count=1&q=Tommy Lee Jones"" | jq '.[] | .followers_count'$'\n' >> output.log",44182
Samuel L. Jackson,"twurl ""/1.1/users/search.json?count=1&q=Samuel L. Jackson"" | jq '.[] | .followers_count'$'\n' >> output.log",7473768
Jack Lemmon,"twurl ""/1.1/users/search.json?count=1&q=Jack Lemmon"" | jq '.[] | .followers_count'$'\n' >> output.log",396
Joe Pesci,"twurl ""/1.1/users/search.json?count=1&q=Joe Pesci"" | jq '.[] | .followers_count'$'\n' >> output.log",24235
Christopher Plummer,"twurl ""/1.1/users/search.json?count=1&q=Christopher Plummer"" | jq '.[] | .followers_count'$'\n' >> output.log",4718
George C. Scott,"twurl ""/1.1/users/search.json?count=1&q=George C. Scott"" | jq '.[] | .followers_count'$'\n' >> output.log",26
Morgan Freeman,"twurl ""/1.1/users/search.json?count=1&q=Morgan Freeman"" | jq '.[] | .followers_count'$'\n' >> output.log",92675
Christopher Walken,"twurl ""/1.1/users/search.json?count=1&q=Christopher Walken"" | jq '.[] | .followers_count'$'\n' >> output.log",584
John Travolta,"twurl ""/1.1/users/search.json?count=1&q=John Travolta"" | jq '.[] | .followers_count'$'\n' >> output.log",8853
James Stewart,"twurl ""/1.1/users/search.json?count=1&q=James Stewart"" | jq '.[] | .followers_count'$'\n' >> output.log",281950
Matthew McConaughey,"twurl ""/1.1/users/search.json?count=1&q=Matthew McConaughey"" | jq '.[] | .followers_count'$'\n' >> output.log",2451516
Peter O'Toole,"twurl ""/1.1/users/search.json?count=1&q=Peter O'Toole"" | jq '.[] | .followers_count'$'\n' >> output.log",1188
James Cagney,"twurl ""/1.1/users/search.json?count=1&q=James Cagney"" | jq '.[] | .followers_count'$'\n' >> output.log",1400
Ian McKellen,"twurl ""/1.1/users/search.json?count=1&q=Ian McKellen"" | jq '.[] | .followers_count'$'\n' >> output.log",3923515
John Cusack,"twurl ""/1.1/users/search.json?count=1&q=John Cusack"" | jq '.[] | .followers_count'$'\n' >> output.log",1698297
Bill Murray,"twurl ""/1.1/users/search.json?count=1&q=Bill Murray"" | jq '.[] | .followers_count'$'\n' >> output.log",527551
Robert Downey Jr.,"twurl ""/1.1/users/search.json?count=1&q=Robert Downey Jr."" | jq '.[] | .followers_count'$'\n' >> output.log",10849310
Nicolas Cage,"twurl ""/1.1/users/search.json?count=1&q=Nicolas Cage"" | jq '.[] | .followers_count'$'\n' >> output.log",50612
Gene Wilder,"twurl ""/1.1/users/search.json?count=1&q=Gene Wilder"" | jq '.[] | .followers_count'$'\n' >> output.log",1980
Kevin Costner,"twurl ""/1.1/users/search.json?count=1&q=Kevin Costner"" | jq '.[] | .followers_count'$'\n' >> output.log",295220
Donald Sutherland,"twurl ""/1.1/users/search.json?count=1&q=Donald Sutherland"" | jq '.[] | .followers_count'$'\n' >> output.log",9883
Bruce Dern,"twurl ""/1.1/users/search.json?count=1&q=Bruce Dern"" | jq '.[] | .followers_count'$'\n' >> output.log",2685
Ava Gardner,"twurl ""/1.1/users/search.json?count=1&q=Ava Gardner"" | jq '.[] | .followers_count'$'\n' >> output.log",4721
Jennifer Jones,"twurl ""/1.1/users/search.json?count=1&q=Jennifer Jones"" | jq '.[] | .followers_count'$'\n' >> output.log",23604
Sally Field,"twurl ""/1.1/users/search.json?count=1&q=Sally Field"" | jq '.[] | .followers_count'$'\n' >> output.log",66983
Greta Garbo,"twurl ""/1.1/users/search.json?count=1&q=Greta Garbo"" | jq '.[] | .followers_count'$'\n' >> output.log",668
Holly Hunter,"twurl ""/1.1/users/search.json?count=1&q=Holly Hunter"" | jq '.[] | .followers_count'$'\n' >> output.log",1075
Hilary Swank,"twurl ""/1.1/users/search.json?count=1&q=Hilary Swank"" | jq '.[] | .followers_count'$'\n' >> output.log",33960
Claudette Colbert,"twurl ""/1.1/users/search.json?count=1&q=Claudette Colbert"" | jq '.[] | .followers_count'$'\n' >> output.log",45
Diane Lane,"twurl ""/1.1/users/search.json?count=1&q=Diane Lane"" | jq '.[] | .followers_count'$'\n' >> output.log",3051
Jessica Lange,"twurl ""/1.1/users/search.json?count=1&q=Jessica Lange"" | jq '.[] | .followers_count'$'\n' >> output.log",21145
Gloria Swanson,"twurl ""/1.1/users/search.json?count=1&q=Gloria Swanson"" | jq '.[] | .followers_count'$'\n' >> output.log",1026
Lauren Bacall,"twurl ""/1.1/users/search.json?count=1&q=Lauren Bacall"" | jq '.[] | .followers_count'$'\n' >> output.log",385
Frances McDormand,"twurl ""/1.1/users/search.json?count=1&q=Frances McDormand"" | jq '.[] | .followers_count'$'\n' >> output.log",3062
Norma Shearer,"twurl ""/1.1/users/search.json?count=1&q=Norma Shearer"" | jq '.[] | .followers_count'$'\n' >> output.log",149
Bette Midler,"twurl ""/1.1/users/search.json?count=1&q=Bette Midler"" | jq '.[] | .followers_count'$'\n' >> output.log",1387402
Mary Tyler Moore,"twurl ""/1.1/users/search.json?count=1&q=Mary Tyler Moore"" | jq '.[] | .followers_count'$'\n' >> output.log",3399
