,date_index0,date_index1,date_index10,date_index11,date_index12,date_index13,date_index14,date_index15,date_index16,date_index17,date_index18,date_index19,date_index2,date_index20,date_index21,date_index22,date_index23,date_index24,date_index25,date_index26,date_index27,date_index28,date_index29,date_index3,date_index30,date_index31,date_index32,date_index33,date_index34,date_index35,date_index36,date_index4,date_index5,date_index6,date_index7,date_index8,date_index9,title
163,88,90,96,94,92,93,98,95,94,100,94,92,93,92,93,96,96,95,90,91,91,89,93,90,97,94,93,89,86,91,94,88,85,86,88,98,96,Home
164,22,24,100,93,66,51,44,36,41,52,45,31,30,23,20,21,20,26,23,17,16,14,12,39,13,20,20,14,10,10,9,41,38,47,85,94,88,War of the Worlds
165,20,28,54,39,36,41,55,81,75,43,35,34,28,31,49,64,57,31,24,23,24,30,42,23,36,29,26,32,34,41,47,27,29,34,71,100,86,Puss in Boots
166,48,50,78,75,70,69,73,87,86,71,66,65,55,65,69,78,78,68,63,63,62,61,71,51,68,62,64,79,78,82,92,61,61,64,87,100,97,Salt
167,24,30,62,53,44,45,56,65,62,41,36,34,29,34,38,47,44,31,28,28,30,36,39,29,41,36,26,26,22,23,28,31,35,47,77,100,93,Noah
168,32,47,90,100,100,90,72,82,83,79,85,69,46,50,38,40,54,73,74,45,28,33,30,56,44,49,61,64,43,24,29,54,44,56,79,85,80,The Adventures of Tintin
169,29,55,43,31,36,35,36,36,60,31,22,25,51,23,23,21,44,19,17,20,11,18,44,45,29,16,16,12,9,12,16,34,37,46,58,100,70,Harry Potter and the Prisoner of Azkaban
170,92,94,84,89,97,90,91,84,81,75,93,98,81,90,87,81,75,70,82,87,89,88,82,81,77,69,85,77,78,70,75,94,100,94,100,97,89,Australia
171,17,24,69,54,58,60,77,93,84,51,42,42,25,39,43,50,48,31,27,25,24,26,34,23,36,24,22,18,19,25,29,24,30,45,86,100,94,After Earth
172,9,0,100,97,59,73,92,28,28,49,12,24,29,55,37,18,37,49,24,12,9,19,0,49,37,19,70,0,27,18,18,61,25,37,37,65,96,Harry Potter and the Deathly Hallows: Part II
173,2,17,57,33,55,75,95,100,68,58,60,73,15,87,60,69,59,52,56,40,36,35,45,14,48,30,27,22,24,25,36,10,14,24,39,45,43,Night at the Museum: Secret of the Tomb
174,13,19,48,33,30,43,48,57,58,34,25,24,18,25,30,52,44,25,22,24,27,39,45,17,40,24,21,23,25,34,45,22,23,43,65,100,84,Megamind
175,23,37,73,61,52,46,44,65,66,46,62,40,28,50,72,79,96,61,33,44,38,57,97,42,95,41,56,54,57,48,50,42,66,86,92,96,100,R.I.P.D.
176,55,44,81,58,50,52,39,53,35,40,37,26,44,28,30,65,43,41,47,29,34,44,35,22,40,23,20,27,32,52,34,27,22,45,100,95,72,Godzilla Resurgence
177,13,0,56,62,100,38,35,23,28,29,33,28,13,9,22,23,10,20,8,24,6,3,10,35,7,14,17,4,13,3,17,33,12,10,13,46,49,Harry Potter and the Deathly Hallows: Part I
178,20,56,48,47,38,30,30,67,66,9,0,9,11,29,10,11,11,19,28,39,10,20,12,28,11,19,29,20,60,31,36,52,30,79,100,80,66,The Hunger Games: Mockingjay - Part 1
179,27,27,58,44,32,36,38,33,31,25,24,19,36,15,21,24,21,21,13,13,12,10,17,40,15,9,10,9,8,9,9,41,61,64,77,100,96,The Da Vinci Code
180,31,50,55,51,50,55,65,69,64,48,37,32,49,33,38,57,55,32,27,32,40,40,50,33,43,26,22,23,23,25,41,34,40,43,69,100,96,Rio 2
181,20,21,61,45,41,43,47,67,59,41,32,30,22,27,28,40,42,26,23,21,19,22,27,23,28,18,16,13,15,17,20,23,27,37,66,100,98,Fast Five
182,16,15,75,61,63,76,75,88,99,91,84,73,26,87,88,77,100,68,69,46,48,61,76,20,66,38,31,36,39,38,80,35,17,30,63,90,87,Sherlock Holmes: A Game of Shadows
183,18,25,65,43,36,34,38,45,44,30,25,25,24,22,27,37,35,19,17,15,16,18,23,24,22,14,11,11,11,12,17,27,32,50,100,97,80,Clash of the Titans
184,19,23,61,50,46,40,42,50,50,34,35,36,21,29,33,37,40,27,27,27,26,31,36,20,37,27,21,27,21,22,28,23,31,52,83,100,86,Total Recall
185,29,45,78,61,53,47,56,73,64,40,35,35,32,33,37,50,53,38,35,30,29,34,48,28,51,34,29,28,25,37,43,41,40,48,87,100,90,The Bourne Legacy
186,23,28,67,46,34,32,30,34,33,25,14,15,34,17,19,26,28,17,11,14,15,13,20,29,18,12,8,12,9,5,15,40,47,50,78,100,81,The Day After Tomorrow
187,13,28,31,38,22,49,27,34,17,25,7,21,31,17,15,14,21,7,9,7,7,15,18,21,17,9,7,17,5,26,18,30,14,26,73,100,61,Fantastic 4: Rise of the Silver Surfer
188,12,16,100,90,61,50,48,45,51,69,70,46,18,39,35,34,38,57,50,38,32,29,30,24,37,43,47,37,32,34,39,22,25,29,53,64,91,Life of Pi
189,21,35,76,59,49,52,59,74,66,39,34,33,35,30,38,54,50,32,23,21,23,27,31,26,32,19,18,19,18,21,35,30,31,40,70,100,91,Ghost Rider
190,15,20,57,45,38,35,40,51,48,30,28,27,27,29,32,49,41,28,22,20,21,23,36,21,34,18,17,16,15,18,32,28,34,48,79,100,92,Jason Bourne
191,45,49,62,43,39,34,38,47,48,32,26,24,49,21,21,28,29,20,17,16,14,15,19,38,19,14,13,12,12,12,14,37,45,53,82,100,90,Prometheus
192,21,27,75,60,64,65,69,83,80,55,45,44,28,43,48,63,58,37,35,35,33,37,52,26,50,41,31,27,27,30,42,27,34,48,86,100,95,Elysium
