user review number,budget,imdbID,Opening Weekend USA,critic number,Cumulative Worldwide Gross,Gross USA
179,2000000,tt1630036,9063147,35,,34522221
205,37000000,tt1161864,14789393,268,97143987,33047633
165,40000000,tt1334512,12222756,178,45735397,33035397
358,40000000,tt0477302,110775,285,55247881,31847881
117,,tt1366344,9851435,143,,30538669
371,13000000,tt1007029,220409,334,114956699,30017992
238,60000000,tt0822847,14953664,225,78309131,29136626
188,40000000,tt0472399,11422006,257,76347393,29121498
179,35000000,tt1600195,10925253,177,86648359,28087155
132,17000000,tt1152398,9851102,142,43165571,27865571
59,30000000,tt1449283,7857076,162,50145607,26692846
163,70000000,tt1448755,9300000,191,65409046,25124986
218,40000000,tt0479997,10612375,278,91627228,24827228
123,5000000,tt1637706,7011631,178,,24814830
550,20000000,tt1340800,310562,479,80630608,24149393
46,20000000,tt1067774,8588318,91,39667665,23186769
219,30000000,tt0881320,9447930,247,108943221,23070045
281,49900000,tt1240982,9360020,208,24856478,21596445
221,30000000,tt1093357,3000000,196,64626786,21426805
119,150000000,tt1305591,6914488,130,,21379315
332,90000000,tt0816462,10021215,317,63356133,21295021
149,55000000,tt1462041,8129355,178,,21283440
265,75000000,tt1509767,8674452,230,132274484,20377913
196,25000000,tt1034389,8684464,216,27122040,19490041
404,23000000,tt1506999,8425370,395,33372606,18942396
137,25000000,tt1633356,8404260,232,,18872522
303,1000000,tt1853739,7020196,406,,18474268
245,30000000,tt1438176,8114388,359,,18298649
40,7500000,tt1699147,,48,18000000,18000000
330,5000000,tt1772240,8704271,226,,17686929
497,38000000,tt0905372,8493665,352,31505287,16928670
210,12000000,tt1625346,310263,330,22939027,16311571
22,20000000,tt1547230,6076859,60,,15000994
223,6400000,tt1655420,1750507,388,35057696,14600347
98,20000000,tt0770703,5421669,146,,14008193
192,15000000,tt1563738,5079566,221,59389433,13843771
550,25000000,tt1291584,5242107,327,23057115,13657115
1013,32000000,tt0478304,372920,597,54303319,13303319
