Gross USA,user review number,Cumulative Worldwide Gross,imdbID,Opening Weekend USA,budget,critic number
150157400,409,268157400,tt2004420,49033915,18000000,356
134938200,117,153997819,tt1408253,41237000,25000000,149
131538435,105,500188435,tt2357291,39327869,103000000,164
128261724,845,414351546,tt2802144,42000000,81000000,437
128002372,822,212902372,tt2180411,31051923,50000000,331
126663600,999,458863600,tt2872732,43899340,40000000,418
124872350,582,307239013,tt2582846,48002523,12000000,328
115637895,386,161459297,tt1809398,30621445,65000000,327
113746621,137,363204635,tt2692250,17100520,127000000,157
111506430,143,275698039,tt0864835,32207057,145000000,202
106580051,540,337580051,tt1253863,45038460,110000000,367
102427862,559,348319861,tt1790864,32512804,34000000,315
101530738,473,192330738,tt0455944,34137828,55000000,304
101200044,1293,362637473,tt1959490,43720472,125000000,439
100206256,805,369206256,tt1631867,28760246,178000000,598
92168600,395,222809600,tt2024469,28875635,50000000,367
91443253,166,101332962,tt1929263,22522221,12000000,86
91125683,679,227774226,tt2084970,479352,14000000,468
89256424,348,325771424,tt2446042,39201657,48000000,231
86208010,299,169837010,tt2096672,14200000,35000000,223
85911262,231,134611262,tt1823664,15861939,65000000,176
85817906,765,211817906,tt2713180,23702421,68000000,417
84525432,151,100375432,tt2103254,21577049,20000000,145
84273813,336,256873813,tt3322940,37134255,6500000,287
83911193,202,196781193,tt2203939,24763752,40000000,202
83348920,129,373543611,tt1911658,25447444,132000000,159
82390774,159,138224951,tt1924435,17813722,17000000,132
78031620,420,159231620,tt2177771,22700000,70000000,377
76223578,203,259541430,tt1109624,25205000,55000000,239
72688614,280,244819862,tt1267297,29000000,100000000,251
71962800,263,110602999,tt2975578,29816675,9000000,307
66954149,90,100654149,tt1698641,18360230,28000000,121
65182182,37,70181428,tt2239832,29241911,24000000,51
65014513,698,268175631,tt1528100,24115934,140000000,320
64251541,78,122529966,tt1821658,20550000,42000000,123
60755732,689,63838966,tt2528814,9244641,2000000,56
59700064,181,70949793,tt3210686,26500000,22000000,62
59165787,48,153765787,tt2980706,17509407,50000000,125
59100318,707,174600318,tt2278388,811166,25000000,548
58607007,648,242688965,tt1234721,25061581,100000000,508
56280355,451,217124280,tt0829150,23514615,70000000,267
54445357,208,107645357,tt2170439,15457418,42000000,199
54240821,201,88880821,tt2980648,11123000,22000000,176
52543632,92,,tt2011159,24250283,13200000,57
52076908,220,66787908,tt1020072,633173,20000000,370
51183113,118,80383113,tt2281587,17005126,50000000,278
50856010,176,103590271,tt1204977,19900000,5000000,196
50837305,130,109285033,tt0787474,17275239,60000000,225
50577412,301,135511030,tt1205537,17200000,60000000,318
50474843,148,78874843,tt1355630,15679190,11000000,143
50151543,114,99783556,tt2262227,17005218,50000000,157
48637684,42,,tt1826590,27838201,12500000,88
47602194,225,161502194,tt2106361,18015000,50000000,232
47119388,294,84419388,tt1872194,13116226,50000000,278
47034272,198,,tt1742044,13319371,40000000,251
46294610,199,127994610,tt1086772,18185000,40000000,171
45089048,305,,tt0435651,12305016,25000000,202
44134898,191,54837234,tt2170593,109878,13000000,261
43577636,367,203277636,tt2369135,17844939,66000000,328
43139300,446,86408083,tt2557490,17069000,40000000,307
43037835,797,130888901,tt2911666,14150000,20000000,413
42340598,1187,103215094,tt2562232,424397,18000000,605
42019483,35,,tt2978462,15873397,36000000,54
39322544,366,206172544,tt2333784,15879645,90000000,327
38916903,155,,tt2183034,8250000,13000000,113
38543473,167,126069509,tt1956620,14608152,40000000,202
37880356,273,52501541,tt2305051,606810,15000000,355
36447959,101,,tt1647668,10511000,25000000,148
35893537,421,123726688,tt2980516,208763,15000000,420
34290142,156,,tt1371150,11558149,19800000,160
33631221,168,,tt2039393,9300000,25000000,175
32482090,338,64056643,tt3713166,16023000,1000000,288
32462372,163,90904854,tt2473682,18343611,5000000,225
32381218,624,50334418,tt2872718,10900000,8500000,533
30697999,221,52597999,tt2172934,12242218,28000000,217
30640336,377,44099145,tt2883512,204961,11000000,333
30577122,206,87937815,tt2377322,9740471,30000000,244
30513940,108,,tt2473602,13585915,30000000,164
30127963,68,,tt2247476,8381509,15000000,49
28831145,130,,tt2223990,9783603,25000000,159
26761283,112,,tt1972779,10003827,26000000,86
26496583,119,,tt2339741,15027415,15000000,179
26307600,215,,tt0365907,12758780,28000000,259
26049082,109,,tt1800246,8742109,8000000,160
25442958,714,38978784,tt0470752,250000,15000000,517
25379975,894,50692666,tt1065073,387618,4000000,566
25277561,103,,tt2784678,6894814,12000000,161
24984868,151,,tt2402157,7660000,15000000,176
23393765,79,,tt2318092,14407605,20000000,97
23219748,333,117831631,tt1921064,10340823,80000000,277
23022309,492,109322309,tt2209764,10886386,100000000,366
21569041,61,,tt2883434,6456000,9000000,93
21197315,242,,tt2870612,8342000,5000000,205
20285518,114,,tt1430612,9516855,28000000,185
19075290,214,74575290,tt1418377,8610441,65000000,317
18848538,222,61402445,tt1043726,8600000,70000000,164
18754371,216,43884652,tt3316960,411000,5000000,312
17382982,35,,tt2205401,7485346,5000000,10
17329486,52,25340200,tt2828996,8843875,4000000,69
17237244,165,31554855,tt1972571,2717000,15000000,294
17223265,164,114178613,tt1121096,7217640,95000000,178
15986272,33,,tt2465140,8075111,8000000,20
15818967,122,,tt2752758,8500000,7000000,138
15155772,52,,tt2465146,4552000,18000000,110
14904384,51,86165646,tt2626350,6575000,45000000,67
14673301,785,10100000,tt3235888,160089,1000000,569
14618727,43,,tt3125324,6500000,7000000,68
14479776,163,21059366,tt1126590,2610026,10000000,335
13998282,419,,tt2467046,6300147,16000000,174
13757804,248,39407616,tt0458481,6317683,65000000,344
13092000,902,48982041,tt2582802,135388,3300000,557
12547189,132,,tt0903657,2122177,10000000,267
12096300,308,19033082,tt1100089,474000,24000000,451
10724389,205,,tt1600196,4104552,12600000,294
10508518,221,17508518,tt1742334,5272444,35000000,237
10506939,165,,tt2870756,412095,16800000,262
10429707,139,,tt3014666,4311083,5000000,51
8496112,86,17834867,tt2235779,3880053,200000,203
8110975,265,14710975,tt1791528,328184,20000000,419
7791146,233,,tt1686821,4101000,30000000,138
7574066,103,,tt1791682,227688,10000000,281
6370412,15,,tt3005242,2661253,3000000,27
6105175,858,12342632,tt2788710,1085515,44000000,299
5981749,114,10076790,tt1850397,2879000,14000000,93
5749134,189,,tt2937898,188000,20000000,362
5550866,30,,tt1621046,2861528,10000000,47
5283379,84,,tt1571249,380691,,189
4404154,93,,tt2235108,347959,,133
4190530,199,14747799,tt3007512,1220335,22500000,186
4011530,62,,tt2908856,124680,5000000,115
3958546,173,25187026,tt2473794,109000,8200000,262
3750000,4,,tt1871257,,750000,6
3593460,196,,tt2234003,74149,,291
3588432,103,5483299,tt2870708,484401,6000000,152
3500000,28,,tt2340650,,,19
3492754,49,,tt3612616,22204,,247
3446820,37,,tt3062976,66015,,103
3333000,218,,tt3416742,128520,1600000,328
3319109,136,,tt2771372,1988351,6000000,179
3128941,40,,tt2752688,567038,5000000,132
3122616,79,,tt2910274,77315,,157
3107072,166,36353750,tt3011894,85100,3300000,293
2963012,124,,tt1726592,1843347,22000000,152
2873758,79,,tt2967006,71712,,114
2827393,7,,tt3532608,1311446,,11
2817092,69,,tt2326574,1587137,16000000,37
2783970,143,,tt4009460,992087,500000,23
2756333,110,16861137,tt2799166,1369935,6500000,114
2716989,75,,tt2652092,841422,20000000,97
2625803,305,,tt2265171,165292,4500000,442
2450846,109,,tt1216491,941809,5000000,162
2436062,110,,tt1596345,202053,19000000,144
2428883,151,,tt2398231,139311,16000000,214
2252580,73,,tt2639344,117276,,190
1914090,117,,tt2048824,38965,1100000,44
1873547,143,,tt3442006,916179,7000000,163
1822030,64,,tt1441953,53000,,118
1821983,276,,tt3099498,846831,3000000,265
1811138,87,4733798,tt2452254,61810,,285
1646574,17,,tt1445208,700683,20000000,22
1557494,44,,tt1761005,851391,1500000,28
1436243,118,9016922,tt2737050,31000,7000000,383
1428647,56,,tt1969062,47000,6700000,100
1410915,97,,tt2891174,32253,8000000,208
1268760,112,,tt2614684,55761,,232
1171559,101,,tt2261331,37675,,159
1169603,70,,tt2714380,159143,,25
1168902,145,,tt3086442,57252,,266
1121961,106,,tt1626146,40847,,121
1109199,181,,tt2345737,69302,8500000,253
1098544,28,,tt3200980,457287,,15
1092800,114,4396821,tt2802154,,,265
1076075,63,7179391,tt3409392,78544,,176
1063723,58,,tt1777595,39638,10000000,9
1013061,37,,tt2933544,238491,6000000,72
1009301,16,,tt3254796,27595,,13
993114,16,,tt2517044,568596,,13
987830,23,,tt3062880,22916,,93
924279,697,,tt2321549,30007,2000000,479
857524,96,4190672,tt1865505,21910,5300000,154
830210,56,,tt2800038,461179,5000000,13
794123,25,,tt3825638,22101,,128
765127,61,35152556,tt3398268,40282,,162
727430,22,,tt3283556,34319,,59
716679,22,,tt2707858,24207,12000000,123
644906,130,,tt1605717,16056,,280
621127,57,,tt3263614,34114,,159
608852,66,,tt2788716,38000,,110
600896,195,,tt2910814,155642,4000000,165
585640,35,,tt3729920,66941,3000000,120
560341,26,,tt3110960,64254,,135
551609,57,,tt2639254,181791,,128
529136,161,,tt2980794,326654,,31
511635,80,,tt2756032,48059,100000,112
510957,6,,tt3139764,,1500000,9
506067,97,,tt1976000,43116,,200
485128,4,,tt2304459,79312,1000000,15
461162,88,,tt3179568,47553,16000000,158
447353,10,,tt3685218,15000,,48
440338,49,,tt2034031,69726,5000000,120
428318,3,67600000,tt3505950,168376,,6
425249,10,,tt2707848,36000,,91
417558,2,,tt3906444,140000,,9
414623,126,,tt1179031,65000,,202
377607,26,49700000,tt3125472,26361,,96
347648,129,,tt2172584,143422,15000000,312
347321,12,,tt2626090,231319,,29
343257,32,,tt1605798,161728,,36
335030,23,,tt1640718,27435,12000000,34
334658,196,,tt2884206,27652,,147
322600,282,,tt2980592,84527,5000000,293
316842,79,,tt3297330,1005,,169
283024,38,735961,tt3170902,9181,,105
281059,15,,tt2841572,23798,,53
280958,9,,tt2972482,8555,,31
280494,58,,tt2844798,16139,UF 700000000,201
275376,7,,tt2929890,61960,8000000,47
231186,18,,tt3230082,21809,,101
230880,27,,tt3129564,8518,,104
228984,8,150228984,tt3950078,50621,,49
222284,51,,tt1883180,25313,,190
206909,32,,tt2481480,13833,,35
191512,15,,tt2788556,19095,9700000,119
