budget,user review number,Cumulative Worldwide Gross,Opening Weekend USA,Gross USA,critic number,imdbID
,5,,9676,25209,28,tt0846668
5000000,29,,676,23563,45,tt0497972
,23,,5901,22509,39,tt0841108
15000000,40,,12377,22165,49,tt0484111
,13,,6129,21594,31,tt0826547
,61,,6924,21438,94,tt0445336
6000000,128,,20146,20146,82,tt0486051
,24,,11032,18718,31,tt0822849
55000,13,,7829,16747,14,tt0960770
,35,,10347,16136,41,tt0810951
,32,,7686,15423,40,tt1062965
750000,53,,1438,15213,26,tt0478126
5000000,29,,8538,14547,28,tt0783515
2000000,24,,13800,13800,34,tt0768183
,40,,8411,13361,30,tt0463027
1500000,4,,7961,13042,7,tt0459468
,17,,3676,12719,27,tt1020972
500000,10,,3821,12055,27,tt0489212
